***Using ctrl+h in text editor change dots '.' to ',' to make graph



Vbe[V];Ic[A]
0.8000000000000005;5.333118654098364E-16
0.8100000000000005;5.42942145321262E-16
0.8200000000000005;5.527012917493294E-16
0.8300000000000005;5.625910291069594E-16
0.8400000000000005;5.726131048821124E-16
0.8500000000000005;5.827692899465634E-16
0.8600000000000005;5.930613788688112E-16
0.8700000000000006;6.034911902311724E-16
0.8800000000000006;6.140605669511202E-16
0.8900000000000006;6.247713766069227E-16
0.9000000000000006;6.356255117676381E-16
0.9100000000000006;6.466248903275259E-16
0.9200000000000006;6.577714558449347E-16
0.9300000000000006;6.690671778857218E-16
0.9400000000000006;6.805140523712701E-16
0.9500000000000006;6.921141019311629E-16
0.9600000000000006;7.038693762605746E-16
0.9700000000000006;7.157819524824476E-16
0.9800000000000006;7.278539355145134E-16
0.9900000000000007;7.400874584412248E-16
1.0000000000000007;7.524846828906666E-16
1.0100000000000007;7.650477994165093E-16
1.0200000000000007;7.777790278850724E-16
1.0300000000000007;7.906806178675688E-16
1.0400000000000007;8.037548490375984E-16
1.0500000000000007;8.170040315739584E-16
1.0600000000000007;8.304305065688469E-16
1.0700000000000007;8.440366464415251E-16
1.0800000000000007;8.578248553575189E-16
1.0900000000000007;8.717975696534261E-16
1.1000000000000008;8.859572582674121E-16
1.1100000000000008;9.00306423175462E-16
1.1200000000000008;9.14847599833474E-16
1.1300000000000008;9.295833576252666E-16
1.1400000000000008;9.445163003165818E-16
1.1500000000000008;9.59649066515161E-16
1.1600000000000008;9.749843301369829E-16
1.1700000000000008;9.905248008787332E-16
1.1800000000000008;1.0062732246966014E-15
1.1900000000000008;1.022232384291485E-15
1.2000000000000008;1.038405099600682E-15
1.2100000000000009;1.0547942282961669E-15
1.2200000000000009;1.071402666289534E-15
1.2300000000000009;1.0882333482436946E-15
1.2400000000000009;1.1052892480914248E-15
1.2500000000000009;1.1225733795608506E-15
1.260000000000001;1.1400887967079649E-15
1.270000000000001;1.15783859445627E-15
1.280000000000001;1.1758259091436421E-15
1.290000000000001;1.194053919076513E-15
1.300000000000001;1.2125258450914668E-15
1.310000000000001;1.2312449511243541E-15
1.320000000000001;1.250214544787019E-15
1.330000000000001;1.269437977951744E-15
1.340000000000001;1.2889186473435175E-15
1.350000000000001;1.3086599951402238E-15
1.360000000000001;1.3286655095808665E-15
1.370000000000001;1.3489387255819323E-15
1.380000000000001;1.3694832253619962E-15
1.390000000000001;1.3903026390746926E-15
1.400000000000001;1.4114006454501523E-15
1.410000000000001;1.4327809724450225E-15
1.420000000000001;1.454447397901187E-15
1.430000000000001;1.4764037502132991E-15
1.440000000000001;1.4986539090052479E-15
